doggo_name,doggo_pic_url,url_source
Thor,https://cdn.rescuegroups.org/7015/pictures/animals/12131/12131006/56395783.jpg,"toolkitFocusPet_0(0, 12131006, 69);return false;"
Bo (TN),https://cdn.rescuegroups.org/7015/pictures/animals/18691/18691973/95933697.jpg,"toolkitFocusPet_0(0, 18691973, 70);return false;"
Myrtle (TX),https://cdn.rescuegroups.org/7015/pictures/animals/18711/18711745/92722956.jpg,"toolkitFocusPet_0(0, 18711745, 71);return false;"
Dixby (TX),https://cdn.rescuegroups.org/7015/pictures/animals/18816/18816480/97697925.jpg,"toolkitFocusPet_0(0, 18816480, 72);return false;"
Pebbles (TX),https://cdn.rescuegroups.org/7015/pictures/animals/18821/18821858/96546766.jpg,"toolkitFocusPet_0(0, 18821858, 73);return false;"
Velvet (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19179/19179259/97728489.jpg,"toolkitFocusPet_0(0, 19179259, 74);return false;"
Violet (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19186/19186896/97999202.jpg,"toolkitFocusPet_0(0, 19186896, 75);return false;"
Flynn (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19189/19189834/95374334.jpg,"toolkitFocusPet_0(0, 19189834, 76);return false;"
Frya (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19272/19272266/95774192.jpg,"toolkitFocusPet_0(0, 19272266, 77);return false;"
Barry (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19283/19283693/98171328.jpg,"toolkitFocusPet_0(0, 19283693, 78);return false;"
Chestnut (TX),https://cdn.rescuegroups.org/7015/pictures/animals/18871/18871042/92792370.jpg,"toolkitFocusPet_0(0, 18871042, 79);return false;"
Kiwi (GA),https://cdn.rescuegroups.org/7015/pictures/animals/18885/18885737/92357970.jpg,"toolkitFocusPet_0(0, 18885737, 80);return false;"
Mindy (TN),https://cdn.rescuegroups.org/7015/pictures/animals/18950/18950657/93226522.jpg,"toolkitFocusPet_0(0, 18950657, 81);return false;"
Panda (AL),https://cdn.rescuegroups.org/7015/pictures/animals/18963/18963993/93868418.jpg,"toolkitFocusPet_0(0, 18963993, 82);return false;"
Max (TX),https://cdn.rescuegroups.org/7015/pictures/animals/18969/18969230/98171817.jpg,"toolkitFocusPet_0(0, 18969230, 83);return false;"
Autumn (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19823/19823965/97141860.jpg,"toolkitFocusPet_0(0, 19823965, 84);return false;"
Bucatini (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19824/19824212/97141889.jpg,"toolkitFocusPet_0(0, 19824212, 85);return false;"
